timestamp,setting,bitrate_kbps,jitter_ms,packets_lost,packets_received,packet_loss_pct
2026-08-14T06:05:20.102036,local_test,0.0,0.0,0,0,
2026-08-14T06:05:22.102693,local_test,0.0,0.0,0,0,
2026-08-14T06:05:24.104538,local_test,0.0,0.0,0,0,
2026-08-14T06:05:26.106176,local_test,0.0,0.0,0,0,
2026-08-14T06:05:28.108269,local_test,0.0,0.0,0,0,
2026-08-14T06:05:30.108417,local_test,0.0,0.0,0,0,
2026-08-14T06:05:32.110080,local_test,0.0,0.0,0,0,
2026-08-14T06:05:34.111760,local_test,0.0,0.0,0,0,
2026-08-14T06:05:36.113560,local_test,0.0,0.0,0,0,
2026-08-14T06:05:41.696199,local_test,0.0,0.0,0,0,
2026-08-14T06:05:43.697720,local_test,0.0,0.0,0,0,
2026-08-14T06:05:45.699413,local_test,0.0,0.0,0,0,
2026-08-14T06:05:47.700630,local_test,0.0,0.0,0,0,
2026-08-14T06:05:49.702069,local_test,0.0,0.0,0,0,
2026-08-14T06:05:51.703284,local_test,0.0,0.0,0,0,
2026-08-14T06:05:53.705244,local_test,0.0,0.0,0,0,
2026-08-14T06:05:55.706750,local_test,0.0,0.0,0,0,
2026-08-14T06:05:57.708639,local_test,0.0,0.0,0,0,
2026-08-14T06:05:59.710197,local_test,0.0,0.0,0,0,
2026-08-14T06:06:01.711859,local_test,0.0,0.0,0,0,
2026-08-14T06:06:03.782662,local_test,0.0,0.0,0,0,
2026-08-14T06:06:05.784476,local_test,0.0,0.0,0,0,
2026-08-14T06:06:07.786184,local_test,0.0,0.0,0,0,
2026-08-14T06:06:09.786460,local_test,0.0,0.0,0,0,
2026-08-14T06:06:11.788258,local_test,0.0,0.0,0,0,
2026-08-14T06:06:17.375393,local_test,0.0,0.0,0,0,
2026-08-14T06:06:19.377240,local_test,0.0,0.0,0,0,
2026-08-14T06:06:21.377596,local_test,199.4,0.12,0,270,0.0
2026-08-14T06:06:23.378422,local_test,264.2,0.15,0,580,0.0
2026-08-14T06:06:25.378588,local_test,278.4,0.1,0,890,0.0
2026-08-14T06:06:27.379915,local_test,264.0,0.1,0,1200,0.0
2026-08-14T06:06:29.381664,local_test,260.1,0.54,0,1509,0.0
2026-08-14T06:06:31.383658,local_test,264.6,0.1,0,1819,0.0
2026-08-14T06:06:33.385535,local_test,272.9,0.1,0,2129,0.0
2026-08-14T06:06:35.385886,local_test,264.3,0.14,0,2444,0.0
2026-08-14T06:06:37.387945,local_test,265.5,0.13,0,2754,0.0
2026-08-14T06:06:39.389804,local_test,275.6,0.14,0,3064,0.0
2026-08-14T06:06:41.391738,local_test,256.0,0.15,0,3374,0.0
2026-08-14T06:06:43.393068,local_test,261.6,0.34,0,3684,0.0
2026-08-14T06:06:45.394573,local_test,262.0,0.37,0,3993,0.0
2026-08-14T06:06:47.395783,local_test,264.5,0.14,0,4303,0.0
2026-08-14T06:06:52.981174,local_test,92.3,0.24,0,4613,0.0
2026-08-14T06:06:54.982239,local_test,272.8,0.14,0,4923,0.0
2026-08-14T06:06:56.982991,local_test,272.4,0.31,0,5233,0.0
2026-08-14T06:06:58.984804,local_test,257.7,0.08,0,5543,0.0
2026-08-14T06:07:00.985305,local_test,267.0,0.13,0,5853,0.0
2026-08-14T06:07:02.987112,local_test,268.2,0.26,0,6163,0.0
2026-08-14T06:07:04.987673,local_test,259.0,2.17,0,6473,0.0
2026-08-14T06:07:06.988165,local_test,260.5,0.13,0,6783,0.0
2026-08-14T06:07:08.988806,local_test,278.1,0.11,0,7093,0.0
2026-08-14T06:07:10.989088,local_test,265.0,0.19,0,7403,0.0
2026-08-14T06:07:12.989536,local_test,254.6,0.37,0,7713,0.0
2026-08-14T06:07:14.989763,local_test,271.5,0.13,0,8023,0.0
2026-08-14T06:07:16.991417,local_test,271.8,0.15,0,8333,0.0
2026-08-14T06:07:18.993194,local_test,254.6,0.09,0,8643,0.0
2026-08-14T06:07:20.994869,local_test,258.2,0.09,0,8952,0.0
2026-08-14T06:07:22.996454,local_test,269.2,0.12,0,9262,0.0
2026-08-14T06:07:28.580119,local_test,95.2,0.12,0,9572,0.0
2026-08-14T06:07:30.581367,local_test,258.7,0.11,0,9882,0.0
2026-08-14T06:07:32.582998,local_test,279.0,0.1,0,10193,0.0
2026-08-14T06:07:34.584634,local_test,261.9,0.09,0,10503,0.0
2026-08-14T06:07:36.586531,local_test,261.0,0.13,0,10818,0.0
2026-08-14T06:07:38.588584,local_test,268.0,0.09,0,11128,0.0
2026-08-14T06:07:40.590471,local_test,257.5,0.12,0,11438,0.0
2026-08-14T06:07:42.592061,local_test,257.9,0.09,0,11747,0.0
2026-08-14T06:07:44.593533,local_test,261.8,1.93,0,12057,0.0
2026-08-14T06:07:46.594800,local_test,272.2,0.1,0,12367,0.0
2026-08-14T06:07:48.596041,local_test,258.9,0.11,0,12677,0.0
2026-08-14T06:07:50.597581,local_test,263.9,0.1,0,12986,0.0
2026-08-14T06:07:52.599342,local_test,271.4,0.12,0,13296,0.0
2026-08-14T06:07:54.601385,local_test,262.6,0.13,0,13606,0.0
2026-08-14T06:07:56.602029,local_test,260.1,0.44,0,13916,0.0
2026-08-14T06:07:58.603989,local_test,268.7,0.12,0,14225,0.0
2026-08-14T06:08:04.189866,local_test,99.0,0.28,0,14535,0.0
2026-08-14T06:08:06.189962,local_test,258.9,3.81,0,14845,0.0
